event_history
User name;AWS access key;Event time;Event source;Event name;AWS region;Source IP address;User agent;Error code;Resources;Request ID;Event ID;Read-only;Event type;Recipient Account Id;Event category
CloudTrail;ASIAYIY5KZOCIPVFFWCW;2020-12-05T18:03:52Z;cloudtrail.amazonaws.com;PutEventSelectors;us-east-1;88.142.47.127;console.amazonaws.com;;"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:568607820676:trail/Udacity_Trail""}]";b36efdc1-37f6-4dcf-845f-7a55e52e9382;a6d3de99-6baa-4e47-b8d0-0b5f70f21e54;FALSE;AwsApiCall;568607820676;Management
CloudTrail;ASIAYIY5KZOCIPVFFWCW;2020-12-05T18:03:52Z;cloudtrail.amazonaws.com;CreateTrail;us-east-1;88.142.47.127;console.amazonaws.com;;"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:568607820676:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""sandeshudacitytrail""}]";96ba7bce-eb94-44ec-ab71-7e2ee4d305ba;b91a35aa-d2e6-4581-b463-43dc6862bbe9;FALSE;AwsApiCall;568607820676;Management
CloudTrail;ASIAYIY5KZOCIPVFFWCW;2020-12-05T18:03:52Z;cloudtrail.amazonaws.com;StartLogging;us-east-1;88.142.47.127;console.amazonaws.com;;"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]";f7bdd230-2649-453c-ad1e-4fc97d4e29af;e3056837-cc0f-4437-a584-53f5256a1549;FALSE;AwsApiCall;568607820676;Management
CloudTrail;ASIAYIY5KZOCIPVFFWCW;2020-12-05T18:03:51Z;s3.amazonaws.com;CreateBucket;us-east-1;88.142.47.127;[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.893 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation];;"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""sandeshudacitytrail""}]";3380BBB468A55052;17d3d5f7-0fd9-4ad2-8738-13daecc81329;FALSE;AwsApiCall;568607820676;Management
CloudTrail;ASIAYIY5KZOCJEVPVAGH;2020-12-05T17:40:01Z;iam.amazonaws.com;ChangePassword;us-east-1;AWS Internal;AWS Internal;;[];ce329f7a-036c-44b8-b393-8338a5abb256;6411b08d-981f-4145-82d2-afc9a6b3873e;FALSE;AwsApiCall;568607820676;Management
CloudTrail;ASIAYIY5KZOCJEVPVAGH;2020-12-05T17:39:14Z;iam.amazonaws.com;ChangePassword;us-east-1;AWS Internal;AWS Internal;InternalFailure;[];64f42b20-abb3-46b9-a1cc-0bd9dfa056d1;040af45b-b199-4375-9af8-a7c443095a60;FALSE;AwsApiCall;568607820676;Management
CloudTrail;;2020-12-05T17:38:54Z;signin.amazonaws.com;ConsoleLogin;us-east-1;88.142.47.127;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36";;[];;4ff75c88-6bd8-4966-a7a3-b35f9852785e;FALSE;AwsConsoleSignIn;568607820676;Management
Sandesh;ASIAYIY5KZOCNXM2DDOM;2020-12-05T17:33:56Z;iam.amazonaws.com;AddUserToGroup;us-east-1;88.142.47.127;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]";a3351ef6-469f-4170-8125-ba04a210bf25;38a4c1da-2172-4fc3-bf53-466aaf1e1ea0;FALSE;AwsApiCall;568607820676;Management
Sandesh;ASIAYIY5KZOCNXM2DDOM;2020-12-05T17:33:40Z;iam.amazonaws.com;AddUserToGroup;us-east-1;88.142.47.127;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]";6814111d-1d6d-4c95-8195-0cdf88700ca5;5236c70d-91bd-4a4e-8b88-141bf5dac24f;FALSE;AwsApiCall;568607820676;Management
Sandesh;ASIAYIY5KZOCNXM2DDOM;2020-12-05T17:33:22Z;iam.amazonaws.com;CreateUser;us-east-1;88.142.47.127;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAYIY5KZOCCJD24YENI""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::568607820676:user/CloudTrail""}]";6ebacd45-b130-4906-81d8-56cfa3cfdf0f;4dc408a2-8f6b-43a8-97dc-e8bd51db326b;FALSE;AwsApiCall;568607820676;Management
Sandesh;ASIAYIY5KZOCNXM2DDOM;2020-12-05T17:33:22Z;iam.amazonaws.com;CreateLoginProfile;us-east-1;88.142.47.127;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]";fd9ad700-1fb4-45a4-a3a3-1e2ccbb65ed4;701d7c8f-c48e-491b-8004-9bcd92674d4d;FALSE;AwsApiCall;568607820676;Management
Sandesh;ASIAYIY5KZOCNXM2DDOM;2020-12-05T17:33:22Z;iam.amazonaws.com;CreateUser;us-east-1;88.142.47.127;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAYIY5KZOCMGZBSKMVH""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::568607820676:user/Accountant""}]";54dd6ae7-db4e-40ba-b8f1-b9cd4fbd4c87;90e096e3-b686-4825-b362-285085d05800;FALSE;AwsApiCall;568607820676;Management
Sandesh;ASIAYIY5KZOCNXM2DDOM;2020-12-05T17:33:22Z;iam.amazonaws.com;CreateLoginProfile;us-east-1;88.142.47.127;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]";6a61629f-53a7-43b9-a300-4dc3e6d1c825;baf5f1f1-fd29-4ffb-840b-f66bb9e25e58;FALSE;AwsApiCall;568607820676;Management
Sandesh;ASIAYIY5KZOCNXM2DDOM;2020-12-05T17:25:34Z;iam.amazonaws.com;CreateGroup;us-east-1;88.142.47.127;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::568607820676:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAYIY5KZOCHE4NAJNL2""}]";c724314d-6108-4917-9841-d7417fe3e78c;9e0618fd-b161-443e-9323-36b8fa95eafa;FALSE;AwsApiCall;568607820676;Management
